,datum,srazka,zavineni,alkohol,nasledek,prilba,pohlavi
0,2013/10/16 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",lehké zranění,ano,muž
1,2014/06/14 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ne,muž
2,2014/08/13 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
3,2014/08/29 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
4,2015/02/02 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
5,2015/04/15 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",bez zraněn,ne,muž
6,2015/04/15 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,žena
7,2015/07/16 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
8,2016/06/08 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ano,muž
9,2016/06/12 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰",lehké zranění,ne,muž
10,2017/08/09 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
11,2019/06/07 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
12,2019/07/12 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
13,2020/08/29 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰",lehké zranění,ne,muž
14,2010/05/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,žena
15,2010/07/23 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Nezjišťován,těžké zranění,ne,muž
16,2010/08/05 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
17,2012/07/20 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
18,2012/10/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
19,2013/05/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,bez zraněn,ano,muž
20,2013/07/21 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,muž
21,2013/07/21 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,bez zraněn,ne,muž
22,2014/06/16 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
23,2014/07/07 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,bez zraněn,ano,muž
24,2014/08/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
25,2015/04/10 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
26,2015/05/16 00:00:00+00,srážka s pevnou překážkou,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
27,2016/04/29 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
28,2016/09/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
29,2017/03/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
30,2017/05/14 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
